velocity,ultrasonic,tof,rate_of_change,label
0.74,26.53,96,0.014,1
0.74,26.67,95,0.028,1
0.74,25.85,91,-0.164,1
0.73,25.83,97,-0.004,1
0.74,26.05,94,0.044,1
0.74,26.12,95,0.014,1
0.78,26.07,99,-0.01,1
0.76,25.81,95,-0.052,1
0.74,25.31,95,-0.1,1
0.72,26.63,95,0.264,1
0.71,25.64,97,-0.198,1
0.67,24.99,97,-0.13,1
0.67,24.99,94,0,1
0.68,25.04,95,0.01,1
0.67,24.87,94,-0.034,1
0.69,25.12,98,0.05,1
0.65,25.4,96,0.056,1
0.65,23.99,96,-0.282,1
0.64,24.52,98,0.106,1
0.63,24.64,97,0.024,1
0.6,24.75,92,0.022,1
0.6,24.18,93,-0.114,1
0.58,23.72,93,-0.092,1
0.59,24.03,98,0.062,1
0.58,23.63,96,-0.08,1
0.57,25.06,98,0.286,1
0.6,25.07,100,0.002,1
0.64,24.42,97,-0.13,1
0.64,24.08,95,-0.068,1
0.63,24.4,100,0.064,1
0.64,23.99,98,-0.082,1
0.68,23.99,95,0,1
0.68,23.67,96,-0.064,1
0.67,22.71,97,-0.192,1
0.68,23.02,96,0.062,1
0.64,22.91,97,-0.022,1
0.62,23.14,98,0.046,1
0.61,22.86,99,-0.056,1
0.63,22.74,95,-0.024,1
0.01,22.64,69,-0.02,1
0.02,22.6,68,-0.008,1
0,37.87,41,0,0
0.04,37.78,85,-0.018,0
0.11,36.65,94,-0.226,0
0.18,35.19,92,-0.292,1
0.23,35.59,95,0.08,1
0.28,34.71,94,-0.176,1
0.32,33.99,94,-0.144,1
0.37,33.67,95,-0.064,1
0.42,33.24,95,-0.086,1
0.48,31.85,93,-0.278,1
0.54,31.62,95,-0.046,1
0.54,32.14,100,0.104,1
0.51,31.14,94,-0.2,1
0.5,30.44,95,-0.14,1
0.5,30,93,-0.088,1
0.51,31.8,96,0.36,1
0.53,28.33,95,-0.694,1
0.52,27.92,94,-0.082,1
0.52,27.66,94,-0.052,1
0.5,27.49,94,-0.034,1
0.48,26.45,94,-0.208,1
0.49,26.19,93,-0.052,1
0.48,25.47,93,-0.144,1
0.51,25.67,96,0.04,1
0.51,24.73,95,-0.188,1
0.53,25,89,0.054,1
0.5,24.23,92,-0.154,1
0.54,23.5,91,-0.146,1
0.56,23.19,91,-0.062,1
0.57,22.86,92,-0.066,1
0.58,22.71,95,-0.03,1
0.57,22.62,94,-0.018,1
0.6,22.6,94,-0.004,1
0.55,22.59,94,-0.002,1
0.01,22.64,69,0.01,1
0.02,22.6,68,-0.008,1
0,54.35,34,0,0
0,53.82,83,-0.106,0
0,54.66,95,0.168,0
0,54.79,99,0.026,0
0,54.98,96,0.038,0
0,55,96,0.004,0
0,55.1,95,0.02,0
0,55.15,95,0.01,0
0,55.1,94,-0.01,0
0,55.27,91,0.034,0
0,55.29,95,0.004,0
0,55.21,93,-0.016,0
0,55.21,94,0,0
0,55.33,96,0.024,0
0,55.36,94,0.006,0
0,54.95,94,-0.082,0
0,55.26,96,0.062,0
0,55.17,95,-0.018,0
0,55.38,94,0.042,0
0,55.74,94,0.072,0
0,55.74,92,0,0
0,56.05,95,0.062,0
0,55.96,95,-0.018,0
0,55.91,94,-0.01,0
0,55.69,97,-0.044,0
0,55.75,95,0.012,0
0,55.77,96,0.004,0
0,55.81,96,0.008,0
0,55.65,95,-0.032,0
0,56.65,97,0.2,0
0,56.39,98,-0.052,0
0,56.42,99,0.006,0
0,56.66,100,0.048,0
0,56.65,96,-0.002,0
0,56.75,97,0.02,0
0,56.75,96,0,0
0,56.3,96,-0.09,0
0,56.35,96,0.01,0
0,55.93,92,-0.084,0
0,56.27,95,0.068,0
0,55.84,95,-0.086,0
0,56.01,95,0.034,0
0,56.05,94,0.008,0
0,56.03,95,-0.004,0
0,56.23,96,0.04,0
0,56.46,95,0.046,0
0,56.61,96,0.03,0
0,56.78,98,0.034,0
0,56.85,94,0.014,0
0,56.7,96,-0.03,0
0,56.89,96,0.038,0
0,56.92,95,0.006,0
0,56.82,96,-0.02,0
0,56.53,94,-0.058,0
0,56.56,94,0.006,0
0,56.68,95,0.024,0
0,56.63,95,-0.01,0
0,56.77,96,0.028,0
0,56.89,96,0.024,0
0,56.96,99,0.014,0
0,57.21,96,0.05,0
0,57.42,95,0.042,0
0,57.9,99,0.096,0
0,57.71,96,-0.038,0
0,55.87,94,-0.368,0
0,56.13,91,0.052,0
0,56.37,93,0.048,0
0,56.73,97,0.072,0
0,56.82,94,0.018,0
0,56.87,95,0.01,0
0,56.85,97,-0.004,0
0,56.89,95,0.008,0
0,57.16,95,0.054,0
0,56.87,94,-0.058,0
0,56.77,91,-0.02,0
0,56.94,94,0.034,0
0,56.85,94,-0.018,0
0,57.28,95,0.086,0
0,57.52,97,0.048,0
0,57.74,94,0.044,0
0,57.81,97,0.014,0
0,58.09,96,0.056,0
0,58.12,94,0.006,0
0,58.48,96,0.072,0
0,58.45,95,-0.006,0
0,58.6,97,0.03,0
0,58.77,99,0.034,0
0,58.98,96,0.042,0
0,59.01,100,0.006,0
0,59.01,97,0,0
0,58.88,96,-0.026,0
0,59.05,96,0.034,0
0,58.29,95,-0.152,0
0,57.49,91,-0.16,0
0,57.56,95,0.014,0
0,57.85,93,0.058,0
0,57.68,93,-0.034,0
0,57.66,92,-0.004,0
0,58.41,96,0.15,0
0,58.36,95,-0.01,0
0,58.64,95,0.056,0
0,58.64,92,0,0
0,58.79,94,0.03,0
0,58.34,94,-0.09,0
0,58.55,91,0.042,0
0,59.15,95,0.12,0
0,59.01,95,-0.028,0
0,59,97,-0.002,0
0,59.05,94,0.01,0
0,59.18,92,0.026,0
0,59.63,95,0.09,0
0,60.08,97,0.09,0
0,60.54,98,0.092,0
0,60.57,99,0.006,0
0,59.87,95,-0.14,0
0,59.92,94,0.01,0
0,59.75,99,-0.034,0
0,59.75,96,0,0
0,59.87,96,0.024,0
0,60.28,94,0.082,0
0,60.13,99,-0.03,0
0,68,31,0,0
0.01,68.67,82,0.134,0
0.14,68.36,89,-0.062,0
0.29,66.87,92,-0.298,0
0.38,66.42,90,-0.09,0
0.47,65.8,90,-0.124,0
0.5,65.27,92,-0.106,0
0.55,65.63,89,0.072,0
0.6,65.43,94,-0.04,0
0.67,65.2,90,-0.046,0
0.74,64.9,94,-0.06,0
0.8,64.67,92,-0.046,0
0.68,65.39,93,0.144,0
0.59,63.71,89,-0.336,0
0.51,64.07,90,0.072,0
0.46,64.07,90,0,0
0.44,63.71,91,-0.072,0
0.42,63.82,92,0.022,0
0.4,65.15,93,0.266,0
0.39,64.66,88,-0.098,0
0.37,63.32,93,-0.268,0
0.34,64.38,95,0.212,0
0.38,63.87,90,-0.102,0
0.37,63.47,92,-0.08,0
0.4,63.37,92,-0.02,0
0.44,63.3,93,-0.014,0
